0	28.6
0.2	32.8
0.4	34.9
0.6	34
0.8	32.8
1	32
1.2	27.1
1.4	23.5
1.6	23.3
1.8	25.7
2	32.2
2.2	34.9
2.4	34.5
2.6	33.8
2.8	30.4
3	27.1
3.2	22.7
3.4	21.9
3.6	23.6
3.8	25.7
4	32.1
4.2	32.9
4.4	34
4.6	35.5
4.8	33.6
5	28.6
5.2	25.1
5.4	22
5.6	24.1
5.8	27.3
6	32.1
6.2	35.7
6.4	34.5
6.6	33
6.8	28.6
7	25.7
7.2	23.7
7.4	23.5
7.6	25.7
7.8	28.2
8	32.6
8.2	34.7
8.4	35.5
8.6	33.4
8.8	32.1
9	27.7
9.2	22.9
9.4	24.7
9.6	26.3
9.8	26.7
10	28.9
10.2	32.6
10.4	34
10.6	32.8
10.8	32.2
11	25.7
11.2	22.8
11.4	24.3
11.6	24.9
11.8	30.8
12	32.8
12.2	35.7
12.4	34.5
12.6	33
12.8	32.1
13	26.5
13.2	23.3
13.4	22.7
13.6	25.7
13.8	28.1
14	32.1
14.2	33.6
14.4	33.8
14.6	32.6
14.8	29.8
15	23.5
15.2	22.5
15.4	25.7
15.6	28.2
15.8	32
16	32.9
16.2	34.5
16.4	34
16.6	32.1
16.8	29
17	24.3
17.2	22.9
17.4	24.3
17.6	24.3
17.8	29.6
18	33
18.2	33
18.4	33
18.6	33.6
18.8	29.8
19	25.1
19.2	24.3
19.4	24.9
19.6	27.1
19.8	29.7
20	32.6
20.2	34
20.4	34.5
20.6	32.1
20.8	27.3
21	22.8
21.2	21.7
21.4	22.7
21.6	25.9
21.8	32.1
22	34
22.2	34.7
22.4	34.5
22.6	32.6
22.8	27.8
23	24.3
23.2	23.9
23.4	25.1
23.6	26.7
23.8	32.6
24	34
24.2	32.9
24.4	32.6
24.6	29.7
24.8	25.5
25	23.5
25.2	22.7
25.4	26.3
25.6	28.8
25.8	32.1
26	34
26.2	34
26.4	32.9
26.6	32.1
26.8	29
27	23.7
27.2	21.7
27.4	23.5
27.6	28.8
27.8	32.8
28	34
28.2	32.9
28.4	32.6
28.6	28.8
28.8	24.7
29	23.7
29.2	23.6
29.4	26.5
29.6	30.3
29.8	33.4
30	33.6
30.2	34.7
30.4	34
30.6	32.2
30.8	24.7
31	20.5
